




Analysis Type:	PANTHER Overrepresentation Test (Released 20190711)
Annotation Version and Release Date:	GO Ontology database  Released 2019-12-09
Analyzed List:	cluster2.txt (Danio rerio)
Reference List:	backgroundlist_35562genes.txt (Danio rerio)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	backgroundlist_35562genes.txt - REFLIST (23232)	cluster2.txt (552)	cluster2.txt (expected)	cluster2.txt (over/under)	cluster2.txt (fold Enrichment)	cluster2.txt (raw P-value)	cluster2.txt (FDR)
pelvic fin morphogenesis (GO:0035139)	1	1	.02	+	42.09	4.59E-02	8.11E-01
hindlimb morphogenesis (GO:0035137)	1	1	.02	+	42.09	4.59E-02	8.10E-01
neuromast mantle cell differentiation (GO:0048888)	1	1	.02	+	42.09	4.59E-02	8.08E-01
embryonic pelvic fin morphogenesis (GO:0035119)	1	1	.02	+	42.09	4.59E-02	8.06E-01
embryonic hindlimb morphogenesis (GO:0035116)	1	1	.02	+	42.09	4.59E-02	8.05E-01
positive regulation of base-excision repair (GO:1905053)	1	1	.02	+	42.09	4.59E-02	8.03E-01
regulation of base-excision repair (GO:1905051)	1	1	.02	+	42.09	4.59E-02	8.01E-01
otic placode development (GO:1905040)	2	2	.05	+	42.09	3.13E-03	1.16E-01
negative regulation of cell cycle arrest (GO:0071157)	1	1	.02	+	42.09	4.59E-02	8.00E-01
regulation of cell cycle arrest (GO:0071156)	1	1	.02	+	42.09	4.59E-02	7.98E-01
negative regulation of epithelial cell migration (GO:0010633)	1	1	.02	+	42.09	4.59E-02	7.97E-01
positive regulation of histone H3-K9 dimethylation (GO:1900111)	1	1	.02	+	42.09	4.59E-02	7.95E-01
regulation of histone H3-K9 dimethylation (GO:1900109)	1	1	.02	+	42.09	4.59E-02	7.93E-01
somatic stem cell population maintenance (GO:0035019)	1	1	.02	+	42.09	4.59E-02	7.92E-01
branching involved in lymph vessel morphogenesis (GO:0060854)	1	1	.02	+	42.09	4.59E-02	7.90E-01
type B pancreatic cell proliferation (GO:0044342)	1	1	.02	+	42.09	4.59E-02	7.89E-01
negative regulation of endothelial cell migration (GO:0010596)	1	1	.02	+	42.09	4.59E-02	7.87E-01
attachment of spindle microtubules to kinetochore involved in homologous chromosome segregation (GO:0051455)	1	1	.02	+	42.09	4.59E-02	7.85E-01
sprouting of injured axon (GO:0048682)	1	1	.02	+	42.09	4.59E-02	7.84E-01
axon extension involved in regeneration (GO:0048677)	1	1	.02	+	42.09	4.59E-02	7.82E-01
epithelial cell morphogenesis involved in gastrulation (GO:0003381)	1	1	.02	+	42.09	4.59E-02	7.81E-01
regulation of xanthophore differentiation (GO:0050938)	2	2	.05	+	42.09	3.13E-03	1.15E-01
noradrenergic neuron development (GO:0003358)	1	1	.02	+	42.09	4.59E-02	7.79E-01
noradrenergic neuron differentiation (GO:0003357)	1	1	.02	+	42.09	4.59E-02	7.78E-01
myoblast fate commitment (GO:0048625)	1	1	.02	+	42.09	4.59E-02	7.76E-01
attachment of spindle microtubules to kinetochore involved in meiotic chromosome segregation (GO:0051316)	1	1	.02	+	42.09	4.59E-02	7.75E-01
posterior commissure morphogenesis (GO:0021961)	1	1	.02	+	42.09	4.59E-02	7.73E-01
cell proliferation in hindbrain ventricular zone (GO:0021923)	1	1	.02	+	42.09	4.59E-02	7.72E-01
symmetric cell division (GO:0098725)	1	1	.02	+	42.09	4.59E-02	7.70E-01
forebrain neuroblast division (GO:0021873)	1	1	.02	+	42.09	4.59E-02	7.69E-01
forebrain ventricular zone progenitor cell division (GO:0021869)	1	1	.02	+	42.09	4.59E-02	7.67E-01
early neuron differentiation in forebrain (GO:0021862)	1	1	.02	+	42.09	4.59E-02	7.66E-01
ventricular zone neuroblast division (GO:0021847)	1	1	.02	+	42.09	4.59E-02	7.64E-01
response to lithium ion (GO:0010226)	1	1	.02	+	42.09	4.59E-02	7.63E-01
negative regulation of blood vessel endothelial cell migration (GO:0043537)	1	1	.02	+	42.09	4.59E-02	7.61E-01
pyrimidine deoxyribonucleoside metabolic process (GO:0046125)	1	1	.02	+	42.09	4.59E-02	7.60E-01
thymidine metabolic process (GO:0046104)	1	1	.02	+	42.09	4.59E-02	7.58E-01
pancreatic A cell development (GO:0003322)	3	2	.07	+	28.06	5.13E-03	1.80E-01
pancreatic A cell differentiation (GO:0003310)	9	5	.21	+	23.38	1.11E-05	6.83E-04
RNA localization to chromatin (GO:1990280)	2	1	.05	+	21.04	6.80E-02	9.68E-01
insulin secretion involved in cellular response to glucose stimulus (GO:0035773)	4	2	.10	+	21.04	7.58E-03	2.49E-01
cerebellum formation (GO:0021588)	2	1	.05	+	21.04	6.80E-02	9.66E-01
L-methionine salvage from S-adenosylmethionine (GO:0019284)	2	1	.05	+	21.04	6.80E-02	9.65E-01
citrulline biosynthetic process (GO:0019240)	2	1	.05	+	21.04	6.80E-02	9.63E-01
cell proliferation in hindbrain (GO:0021534)	4	2	.10	+	21.04	7.58E-03	2.48E-01
negative regulation of epithelial cell differentiation (GO:0030857)	2	1	.05	+	21.04	6.80E-02	9.62E-01
neural plate development (GO:0001840)	8	4	.19	+	21.04	1.22E-04	6.71E-03
regulation of interleukin-13 biosynthetic process (GO:0045366)	2	1	.05	+	21.04	6.80E-02	9.60E-01
positive regulation of DNA endoreduplication (GO:0032877)	2	1	.05	+	21.04	6.80E-02	9.58E-01
regulation of DNA endoreduplication (GO:0032875)	2	1	.05	+	21.04	6.80E-02	9.57E-01
regulation of mRNA stability involved in response to oxidative stress (GO:2000815)	2	1	.05	+	21.04	6.80E-02	9.55E-01
regulation of attachment of spindle microtubules to kinetochore (GO:0051988)	4	2	.10	+	21.04	7.58E-03	2.47E-01
positive regulation of attachment of spindle microtubules to kinetochore (GO:0051987)	2	1	.05	+	21.04	6.80E-02	9.54E-01
positive regulation of interferon-alpha secretion (GO:1902741)	2	1	.05	+	21.04	6.80E-02	9.52E-01
regulation of interferon-alpha secretion (GO:1902739)	2	1	.05	+	21.04	6.80E-02	9.51E-01
neuroblast division (GO:0055057)	2	1	.05	+	21.04	6.80E-02	9.49E-01
G1 DNA damage checkpoint (GO:0044783)	2	1	.05	+	21.04	6.80E-02	9.48E-01
positive regulation of tumor necrosis factor production (GO:0032760)	2	1	.05	+	21.04	6.80E-02	9.46E-01
positive regulation of interleukin-1 beta production (GO:0032731)	2	1	.05	+	21.04	6.80E-02	9.44E-01
positive regulation of interferon-alpha production (GO:0032727)	2	1	.05	+	21.04	6.80E-02	9.43E-01
reelin-mediated signaling pathway (GO:0038026)	2	1	.05	+	21.04	6.80E-02	9.41E-01
regulation of neuroblast proliferation (GO:1902692)	2	1	.05	+	21.04	6.80E-02	9.40E-01
protein C-linked glycosylation via 2'-alpha-mannosyl-L-tryptophan (GO:0018406)	2	1	.05	+	21.04	6.80E-02	9.38E-01
error-free translesion synthesis (GO:0070987)	2	1	.05	+	21.04	6.80E-02	9.37E-01
blood vessel endothelial cell proliferation involved in sprouting angiogenesis (GO:0002043)	4	2	.10	+	21.04	7.58E-03	2.46E-01
arginine biosynthetic process via ornithine (GO:0042450)	2	1	.05	+	21.04	6.80E-02	9.35E-01
regulation of interleukin-1 beta production (GO:0032651)	2	1	.05	+	21.04	6.80E-02	9.34E-01
regulation of interferon-alpha production (GO:0032647)	2	1	.05	+	21.04	6.80E-02	9.32E-01
sympathetic ganglion development (GO:0061549)	2	1	.05	+	21.04	6.80E-02	9.31E-01
protein C-linked glycosylation via tryptophan (GO:0018317)	2	1	.05	+	21.04	6.80E-02	9.29E-01
brain segmentation (GO:0035284)	2	1	.05	+	21.04	6.80E-02	9.28E-01
central nervous system segmentation (GO:0035283)	2	1	.05	+	21.04	6.80E-02	9.26E-01
intraspecies interaction between organisms (GO:0051703)	2	1	.05	+	21.04	6.80E-02	9.25E-01
regulation of cardiac muscle tissue regeneration (GO:1905178)	2	1	.05	+	21.04	6.80E-02	9.24E-01
peripheral nervous system neuron axonogenesis (GO:0048936)	12	6	.29	+	21.04	2.23E-06	1.52E-04
peptidyl-tryptophan modification (GO:0018211)	2	1	.05	+	21.04	6.80E-02	9.22E-01
positive regulation of attachment of mitotic spindle microtubules to kinetochore (GO:1902425)	2	1	.05	+	21.04	6.80E-02	9.21E-01
regulation of attachment of mitotic spindle microtubules to kinetochore (GO:1902423)	2	1	.05	+	21.04	6.80E-02	9.19E-01
social behavior (GO:0035176)	2	1	.05	+	21.04	6.80E-02	9.18E-01
peptidyl-pyrromethane cofactor linkage (GO:0018160)	2	1	.05	+	21.04	6.80E-02	9.16E-01
protein C-linked glycosylation (GO:0018103)	2	1	.05	+	21.04	6.80E-02	9.15E-01
regulation of mRNA stability involved in response to stress (GO:0010610)	2	1	.05	+	21.04	6.80E-02	9.13E-01
ammonia homeostasis (GO:0097272)	2	1	.05	+	21.04	6.80E-02	9.12E-01
negative regulation of collateral sprouting of intact axon in response to injury (GO:0048685)	2	1	.05	+	21.04	6.80E-02	9.11E-01
regulation of collateral sprouting of intact axon in response to injury (GO:0048683)	2	1	.05	+	21.04	6.80E-02	9.09E-01
negative regulation of collateral sprouting (GO:0048671)	2	1	.05	+	21.04	6.80E-02	9.08E-01
chorionic trophoblast cell differentiation (GO:0060718)	2	1	.05	+	21.04	6.80E-02	9.06E-01
chorion development (GO:0060717)	2	1	.05	+	21.04	6.80E-02	9.05E-01
neuronal stem cell population maintenance (GO:0097150)	4	2	.10	+	21.04	7.58E-03	2.45E-01
regulation of pigment cell differentiation (GO:0050932)	4	2	.10	+	21.04	7.58E-03	2.44E-01
extraembryonic membrane development (GO:1903867)	2	1	.05	+	21.04	6.80E-02	9.04E-01
cellular response to cold (GO:0070417)	2	1	.05	+	21.04	6.80E-02	9.02E-01
positive regulation of neural precursor cell proliferation (GO:2000179)	4	2	.10	+	21.04	7.58E-03	2.43E-01
negative regulation of meiotic nuclear division (GO:0045835)	2	1	.05	+	21.04	6.80E-02	9.01E-01
glutamatergic neuron differentiation (GO:1905962)	2	1	.05	+	21.04	6.80E-02	8.99E-01
positive regulation of interleukin-1 beta secretion (GO:0050718)	2	1	.05	+	21.04	6.80E-02	8.98E-01
regulation of interleukin-1 beta secretion (GO:0050706)	2	1	.05	+	21.04	6.80E-02	8.97E-01
mitotic G1 DNA damage checkpoint (GO:0031571)	2	1	.05	+	21.04	6.80E-02	8.95E-01
mammillary body development (GO:0021767)	4	2	.10	+	21.04	7.58E-03	2.42E-01
protein kinase B signaling (GO:0043491)	2	1	.05	+	21.04	6.80E-02	8.94E-01
axonogenesis involved in innervation (GO:0060385)	6	3	.14	+	21.04	9.41E-04	4.06E-02
positive regulation of tumor necrosis factor superfamily cytokine production (GO:1903557)	2	1	.05	+	21.04	6.80E-02	8.93E-01
fourth ventricle development (GO:0021592)	7	3	.17	+	18.04	1.32E-03	5.54E-02
vestibular receptor cell development (GO:0060118)	5	2	.12	+	16.83	1.05E-02	3.03E-01
vestibular receptor cell differentiation (GO:0060114)	5	2	.12	+	16.83	1.05E-02	3.02E-01
negative regulation of neuron projection regeneration (GO:0070571)	5	2	.12	+	16.83	1.05E-02	3.01E-01
negative regulation of axon regeneration (GO:0048681)	5	2	.12	+	16.83	1.05E-02	3.00E-01
peripheral nervous system neuron development (GO:0048935)	18	7	.43	+	16.37	1.17E-06	8.29E-05
peripheral nervous system neuron differentiation (GO:0048934)	18	7	.43	+	16.37	1.17E-06	8.22E-05
respiratory system development (GO:0060541)	11	4	.26	+	15.30	3.20E-04	1.60E-02
innervation (GO:0060384)	11	4	.26	+	15.30	3.20E-04	1.59E-02
central nervous system projection neuron axonogenesis (GO:0021952)	17	6	.40	+	14.85	1.10E-05	6.78E-04
negative regulation of vascular endothelial growth factor receptor signaling pathway (GO:0030948)	3	1	.07	+	14.03	8.97E-02	1.00E00
tail-anchored membrane protein insertion into ER membrane (GO:0071816)	3	1	.07	+	14.03	8.97E-02	1.00E00
somatic stem cell division (GO:0048103)	3	1	.07	+	14.03	8.97E-02	1.00E00
myoblast differentiation (GO:0045445)	3	1	.07	+	14.03	8.97E-02	1.00E00
neural plate morphogenesis (GO:0001839)	6	2	.14	+	14.03	1.37E-02	3.73E-01
olfactory bulb axon guidance (GO:0071678)	3	1	.07	+	14.03	8.97E-02	1.00E00
optomotor response (GO:0071632)	3	1	.07	+	14.03	8.97E-02	1.00E00
single strand break repair (GO:0000012)	3	1	.07	+	14.03	8.97E-02	1.00E00
mitotic G1/S transition checkpoint (GO:0044819)	3	1	.07	+	14.03	8.97E-02	1.00E00
regulation of lens fiber cell differentiation (GO:1902746)	3	1	.07	+	14.03	8.97E-02	1.00E00
arginine biosynthetic process (GO:0006526)	3	1	.07	+	14.03	8.97E-02	1.00E00
positive regulation of G2/M transition of mitotic cell cycle (GO:0010971)	3	1	.07	+	14.03	8.97E-02	1.00E00
negative regulation of proteolysis involved in cellular protein catabolic process (GO:1903051)	3	1	.07	+	14.03	8.97E-02	1.00E00
regulation of tumor necrosis factor production (GO:0032680)	3	1	.07	+	14.03	8.97E-02	1.00E00
melanin biosynthetic process (GO:0042438)	3	1	.07	+	14.03	8.97E-02	1.00E00
regulation of interleukin-13 production (GO:0032656)	3	1	.07	+	14.03	8.97E-02	1.00E00
negative regulation of peptidyl-threonine phosphorylation (GO:0010801)	3	1	.07	+	14.03	8.97E-02	1.00E00
viral entry into host cell (GO:0046718)	3	1	.07	+	14.03	8.97E-02	1.00E00
regulation of peptidyl-threonine phosphorylation (GO:0010799)	3	1	.07	+	14.03	8.97E-02	1.00E00
double-strand break repair involved in meiotic recombination (GO:1990918)	3	1	.07	+	14.03	8.97E-02	1.00E00
5-methylcytosine catabolic process (GO:0006211)	3	1	.07	+	14.03	8.97E-02	1.00E00
axon extension involved in axon guidance (GO:0048846)	6	2	.14	+	14.03	1.37E-02	3.72E-01
negative regulation of cytokinesis (GO:0032466)	3	1	.07	+	14.03	8.97E-02	1.00E00
entry into host (GO:0044409)	3	1	.07	+	14.03	8.97E-02	1.00E00
entry into host cell (GO:0030260)	3	1	.07	+	14.03	8.97E-02	1.00E00
negative regulation of proteasomal ubiquitin-dependent protein catabolic process (GO:0032435)	3	1	.07	+	14.03	8.97E-02	1.00E00
regulation of meiotic nuclear division (GO:0040020)	3	1	.07	+	14.03	8.97E-02	1.00E00
positive regulation of histone H3-K9 methylation (GO:0051574)	3	1	.07	+	14.03	8.97E-02	1.00E00
regulation of chemokine activity (GO:1900136)	3	1	.07	+	14.03	8.97E-02	1.00E00
regulation of receptor binding (GO:1900120)	3	1	.07	+	14.03	8.97E-02	1.00E00
regulation of metaphase plate congression (GO:0090235)	3	1	.07	+	14.03	8.97E-02	1.00E00
5-methylcytosine metabolic process (GO:0019857)	3	1	.07	+	14.03	8.97E-02	1.00E00
venous endothelial cell migration involved in lymph vessel development (GO:0060855)	3	1	.07	+	14.03	8.97E-02	1.00E00
neuron projection extension involved in neuron projection guidance (GO:1902284)	6	2	.14	+	14.03	1.37E-02	3.71E-01
positive regulation of vascular endothelial growth factor production (GO:0010575)	3	1	.07	+	14.03	8.97E-02	1.00E00
negative regulation of meiotic cell cycle (GO:0051447)	3	1	.07	+	14.03	8.97E-02	1.00E00
negative regulation of proteasomal protein catabolic process (GO:1901799)	3	1	.07	+	14.03	8.97E-02	1.00E00
post-embryonic foregut morphogenesis (GO:0048618)	3	1	.07	+	14.03	8.97E-02	1.00E00
taste bud formation (GO:0061195)	3	1	.07	+	14.03	8.97E-02	1.00E00
taste bud morphogenesis (GO:0061194)	3	1	.07	+	14.03	8.97E-02	1.00E00
taste bud development (GO:0061193)	3	1	.07	+	14.03	8.97E-02	1.00E00
esophagus smooth muscle contraction (GO:0014846)	3	1	.07	+	14.03	8.97E-02	1.00E00
regulation of insulin secretion involved in cellular response to glucose stimulus (GO:0061178)	3	1	.07	+	14.03	8.97E-02	1.00E00
negative regulation of oxidative stress-induced intrinsic apoptotic signaling pathway (GO:1902176)	3	1	.07	+	14.03	8.97E-02	1.00E00
regulation of oxidative stress-induced intrinsic apoptotic signaling pathway (GO:1902175)	3	1	.07	+	14.03	8.97E-02	1.00E00
anterior commissure morphogenesis (GO:0021960)	3	1	.07	+	14.03	8.97E-02	1.00E00
oligodendrocyte progenitor proliferation (GO:0070444)	3	1	.07	+	14.03	8.97E-02	1.00E00
embryonic digestive tract development (GO:0048566)	6	2	.14	+	14.03	1.37E-02	3.70E-01
embryonic digestive tract morphogenesis (GO:0048557)	3	1	.07	+	14.03	8.97E-02	1.00E00
pre-mRNA cleavage required for polyadenylation (GO:0098789)	3	1	.07	+	14.03	8.97E-02	1.00E00
mRNA cleavage involved in mRNA processing (GO:0098787)	3	1	.07	+	14.03	8.97E-02	1.00E00
regulation of sequestering of zinc ion (GO:0061088)	3	1	.07	+	14.03	8.97E-02	1.00E00
cell dedifferentiation (GO:0043697)	6	2	.14	+	14.03	1.37E-02	3.69E-01
dedifferentiation (GO:0043696)	6	2	.14	+	14.03	1.37E-02	3.67E-01
neuronal stem cell division (GO:0036445)	3	1	.07	+	14.03	8.97E-02	1.00E00
negative regulation of ubiquitin-dependent protein catabolic process (GO:2000059)	3	1	.07	+	14.03	8.97E-02	1.00E00
tongue morphogenesis (GO:0043587)	3	1	.07	+	14.03	8.97E-02	1.00E00
tongue development (GO:0043586)	3	1	.07	+	14.03	8.97E-02	1.00E00
nose development (GO:0043584)	3	1	.07	+	14.03	8.97E-02	1.00E00
locus ceruleus development (GO:0021703)	6	2	.14	+	14.03	1.37E-02	3.66E-01
neuroblast proliferation (GO:0007405)	6	2	.14	+	14.03	1.37E-02	3.65E-01
glial cell-derived neurotrophic factor receptor signaling pathway (GO:0035860)	3	1	.07	+	14.03	8.97E-02	1.00E00
regulation of tumor necrosis factor superfamily cytokine production (GO:1903555)	3	1	.07	+	14.03	8.97E-02	1.00E00
regulation of cytokine activity (GO:0060300)	3	1	.07	+	14.03	8.97E-02	1.00E00
neural precursor cell proliferation (GO:0061351)	22	7	.52	+	13.39	3.50E-06	2.33E-04
retinal rod cell differentiation (GO:0060221)	10	3	.24	+	12.63	2.99E-03	1.13E-01
retinal rod cell development (GO:0046548)	7	2	.17	+	12.02	1.74E-02	4.35E-01
adenohypophysis development (GO:0021984)	14	4	.33	+	12.02	6.78E-04	3.08E-02
central nervous system neuron axonogenesis (GO:0021955)	21	6	.50	+	12.02	2.97E-05	1.75E-03
thalamus development (GO:0021794)	7	2	.17	+	12.02	1.74E-02	4.34E-01
midbrain-hindbrain boundary development (GO:0030917)	29	8	.69	+	11.61	1.71E-06	1.17E-04
olfactory placode development (GO:0071698)	11	3	.26	+	11.48	3.74E-03	1.36E-01
midbrain development (GO:0030901)	26	7	.62	+	11.33	8.83E-06	5.54E-04
epithalamus development (GO:0021538)	19	5	.45	+	11.08	1.95E-04	1.02E-02
protein splicing (GO:0030908)	4	1	.10	+	10.52	1.11E-01	1.00E00
water transport (GO:0006833)	4	1	.10	+	10.52	1.11E-01	1.00E00
cardioblast differentiation (GO:0010002)	4	1	.10	+	10.52	1.11E-01	1.00E00
hindbrain formation (GO:0021576)	4	1	.10	+	10.52	1.11E-01	1.00E00
midbrain-hindbrain boundary morphogenesis (GO:0021555)	8	2	.19	+	10.52	2.14E-02	5.11E-01
dorsal spinal cord development (GO:0021516)	4	1	.10	+	10.52	1.11E-01	1.00E00
positive regulation of nuclear-transcribed mRNA poly(A) tail shortening (GO:0060213)	8	2	.19	+	10.52	2.14E-02	5.09E-01
regulation of nuclear-transcribed mRNA poly(A) tail shortening (GO:0060211)	8	2	.19	+	10.52	2.14E-02	5.08E-01
intein-mediated protein splicing (GO:0016539)	4	1	.10	+	10.52	1.11E-01	1.00E00
glomerular visceral epithelial cell fate commitment (GO:0072149)	4	1	.10	+	10.52	1.11E-01	1.00E00
negative regulation of cellular protein catabolic process (GO:1903363)	4	1	.10	+	10.52	1.11E-01	1.00E00
regulation of developmental pigmentation (GO:0048070)	8	2	.19	+	10.52	2.14E-02	5.06E-01
eye pigmentation (GO:0048069)	4	1	.10	+	10.52	1.11E-01	1.00E00
negative regulation of response to oxidative stress (GO:1902883)	4	1	.10	+	10.52	1.11E-01	1.00E00
citrulline metabolic process (GO:0000052)	4	1	.10	+	10.52	1.11E-01	1.00E00
urea cycle (GO:0000050)	4	1	.10	+	10.52	1.11E-01	1.00E00
anterior/posterior pattern specification involved in kidney development (GO:0072098)	4	1	.10	+	10.52	1.11E-01	1.00E00
diadenosine polyphosphate catabolic process (GO:0015961)	4	1	.10	+	10.52	1.11E-01	1.00E00
amino acid salvage (GO:0043102)	4	1	.10	+	10.52	1.11E-01	1.00E00
auditory receptor cell stereocilium organization (GO:0060088)	4	1	.10	+	10.52	1.11E-01	1.00E00
inhibitory postsynaptic potential (GO:0060080)	4	1	.10	+	10.52	1.11E-01	1.00E00
muscle cell fate specification (GO:0042694)	4	1	.10	+	10.52	1.11E-01	1.00E00
purine deoxyribonucleoside triphosphate catabolic process (GO:0009217)	4	1	.10	+	10.52	1.11E-01	1.00E00
purine deoxyribonucleoside triphosphate metabolic process (GO:0009215)	4	1	.10	+	10.52	1.11E-01	1.00E00
negative regulation of oxidative stress-induced cell death (GO:1903202)	4	1	.10	+	10.52	1.11E-01	1.00E00
regulation of oxidative stress-induced cell death (GO:1903201)	4	1	.10	+	10.52	1.11E-01	1.00E00
diphosphoinositol polyphosphate metabolic process (GO:0071543)	4	1	.10	+	10.52	1.11E-01	1.00E00
melanin metabolic process (GO:0006582)	4	1	.10	+	10.52	1.11E-01	1.00E00
positive regulation of cell cycle G2/M phase transition (GO:1902751)	4	1	.10	+	10.52	1.11E-01	1.00E00
positive regulation of histone methylation (GO:0031062)	4	1	.10	+	10.52	1.11E-01	1.00E00
negative regulation of histone methylation (GO:0031061)	4	1	.10	+	10.52	1.11E-01	1.00E00
pyrimidine nucleoside transport (GO:0015864)	4	1	.10	+	10.52	1.11E-01	1.00E00
uridine transport (GO:0015862)	4	1	.10	+	10.52	1.11E-01	1.00E00
purine deoxyribonucleotide catabolic process (GO:0009155)	4	1	.10	+	10.52	1.11E-01	1.00E00
purine deoxyribonucleotide metabolic process (GO:0009151)	4	1	.10	+	10.52	1.11E-01	1.00E00
purine nucleoside triphosphate catabolic process (GO:0009146)	4	1	.10	+	10.52	1.11E-01	1.00E00
auditory receptor cell morphogenesis (GO:0002093)	4	1	.10	+	10.52	1.11E-01	1.00E00
negative regulation of cellular response to oxidative stress (GO:1900408)	4	1	.10	+	10.52	1.11E-01	1.00E00
actin filament reorganization (GO:0090527)	4	1	.10	+	10.52	1.11E-01	1.00E00
CRD-mediated mRNA stabilization (GO:0070934)	4	1	.10	+	10.52	1.11E-01	1.00E00
negative regulation of cell division (GO:0051782)	4	1	.10	+	10.52	1.11E-01	1.00E00
cellular response to glucose stimulus (GO:0071333)	8	2	.19	+	10.52	2.14E-02	5.05E-01
cellular response to hexose stimulus (GO:0071331)	8	2	.19	+	10.52	2.14E-02	5.04E-01
cellular response to monosaccharide stimulus (GO:0071326)	8	2	.19	+	10.52	2.14E-02	5.02E-01
cellular response to carbohydrate stimulus (GO:0071322)	8	2	.19	+	10.52	2.14E-02	5.01E-01
anterior lateral line nerve development (GO:0048909)	4	1	.10	+	10.52	1.11E-01	1.00E00
L-methionine salvage (GO:0071267)	4	1	.10	+	10.52	1.11E-01	1.00E00
L-methionine biosynthetic process (GO:0071265)	4	1	.10	+	10.52	1.11E-01	1.00E00
pyrimidine nucleoside metabolic process (GO:0006213)	4	1	.10	+	10.52	1.11E-01	1.00E00
dGTP catabolic process (GO:0006203)	4	1	.10	+	10.52	1.11E-01	1.00E00
adenosine 5'-(hexahydrogen pentaphosphate) catabolic process (GO:1901911)	4	1	.10	+	10.52	1.11E-01	1.00E00
adenosine 5'-(hexahydrogen pentaphosphate) metabolic process (GO:1901910)	4	1	.10	+	10.52	1.11E-01	1.00E00
diadenosine hexaphosphate catabolic process (GO:1901909)	4	1	.10	+	10.52	1.11E-01	1.00E00
diadenosine hexaphosphate metabolic process (GO:1901908)	4	1	.10	+	10.52	1.11E-01	1.00E00
diadenosine pentaphosphate catabolic process (GO:1901907)	4	1	.10	+	10.52	1.11E-01	1.00E00
diadenosine pentaphosphate metabolic process (GO:1901906)	4	1	.10	+	10.52	1.11E-01	1.00E00
anterior/posterior pattern specification involved in pronephros development (GO:0034672)	4	1	.10	+	10.52	1.11E-01	1.00E00
histone H4-K16 acetylation (GO:0043984)	4	1	.10	+	10.52	1.11E-01	1.00E00
positive regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay (GO:1900153)	8	2	.19	+	10.52	2.14E-02	4.99E-01
regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay (GO:1900151)	8	2	.19	+	10.52	2.14E-02	4.98E-01
positive regulation of protein depolymerization (GO:1901881)	4	1	.10	+	10.52	1.11E-01	1.00E00
regulation of centriole replication (GO:0046599)	4	1	.10	+	10.52	1.11E-01	1.00E00
arterial endothelial cell differentiation (GO:0060842)	4	1	.10	+	10.52	1.11E-01	1.00E00
