




Analysis Type:	PANTHER Overrepresentation Test (Released 20190711)
Annotation Version and Release Date:	GO Ontology database  Released 2019-12-09
Analyzed List:	cluster5.txt (Danio rerio)
Reference List:	backgroundlist_35562genes.txt (Danio rerio)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	backgroundlist_35562genes.txt - REFLIST (23232)	cluster5.txt (452)	cluster5.txt (expected)	cluster5.txt (over/under)	cluster5.txt (fold Enrichment)	cluster5.txt (raw P-value)	cluster5.txt (FDR)
tissue development (GO:0009888)	1238	64	24.09	+	2.66	3.47E-12	7.46E-10
negative regulation of biological process (GO:0048519)	1796	81	34.94	+	2.32	3.31E-12	7.49E-10
DNA packaging (GO:0006323)	79	17	1.54	+	11.06	3.43E-12	7.55E-10
cell differentiation (GO:0030154)	1895	83	36.87	+	2.25	6.91E-12	1.45E-09
chromosome segregation (GO:0007059)	128	20	2.49	+	8.03	7.81E-12	1.60E-09
nuclear division (GO:0000280)	116	19	2.26	+	8.42	1.26E-11	2.52E-09
regulation of cell cycle process (GO:0010564)	149	21	2.90	+	7.24	1.35E-11	2.63E-09
mitotic nuclear division (GO:0140014)	62	15	1.21	+	12.44	1.54E-11	2.94E-09
cellular developmental process (GO:0048869)	1936	83	37.67	+	2.20	2.06E-11	3.85E-09
negative regulation of cellular process (GO:0048523)	1652	75	32.14	+	2.33	2.42E-11	4.42E-09
regulation of chromosome organization (GO:0033044)	123	19	2.39	+	7.94	3.12E-11	5.59E-09
mitotic sister chromatid segregation (GO:0000070)	43	13	.84	+	15.54	3.37E-11	5.90E-09
chordate embryonic development (GO:0043009)	419	33	8.15	+	4.05	5.51E-11	9.29E-09
positive regulation of macromolecule metabolic process (GO:0010604)	1131	58	22.00	+	2.64	5.48E-11	9.41E-09
regulation of gene expression, epigenetic (GO:0040029)	97	17	1.89	+	9.01	5.97E-11	9.87E-09
embryo development ending in birth or egg hatching (GO:0009792)	421	33	8.19	+	4.03	6.19E-11	1.00E-08
head development (GO:0060322)	403	32	7.84	+	4.08	8.98E-11	1.43E-08
chromosome condensation (GO:0030261)	37	12	.72	+	16.67	9.83E-11	1.54E-08
positive regulation of metabolic process (GO:0009893)	1220	60	23.74	+	2.53	1.30E-10	1.99E-08
brain development (GO:0007420)	386	31	7.51	+	4.13	1.37E-10	2.07E-08
regulation of chromatin silencing (GO:0031935)	30	11	.58	+	18.85	2.05E-10	3.03E-08
central nervous system development (GO:0007417)	548	37	10.66	+	3.47	2.23E-10	3.25E-08
positive regulation of biological process (GO:0048518)	2081	84	40.49	+	2.07	2.97E-10	4.26E-08
organelle fission (GO:0048285)	143	19	2.78	+	6.83	3.16E-10	4.45E-08
positive regulation of cellular process (GO:0048522)	1802	76	35.06	+	2.17	3.46E-10	4.80E-08
regulation of cellular component organization (GO:0051128)	758	44	14.75	+	2.98	3.94E-10	5.38E-08
positive regulation of cellular metabolic process (GO:0031325)	1160	57	22.57	+	2.53	4.16E-10	5.58E-08
positive regulation of nucleobase-containing compound metabolic process (GO:0045935)	650	40	12.65	+	3.16	5.31E-10	7.02E-08
chromatin assembly or disassembly (GO:0006333)	70	14	1.36	+	10.28	6.54E-10	8.52E-08
embryo development (GO:0009790)	928	49	18.06	+	2.71	7.84E-10	1.01E-07
pattern specification process (GO:0007389)	471	33	9.16	+	3.60	9.15E-10	1.16E-07
positive regulation of gene expression (GO:0010628)	671	40	13.05	+	3.06	1.26E-09	1.57E-07
regulation of chromatin organization (GO:1902275)	75	14	1.46	+	9.59	1.44E-09	1.77E-07
positive regulation of RNA metabolic process (GO:0051254)	625	38	12.16	+	3.13	2.01E-09	2.43E-07
regulation of gene silencing (GO:0060968)	39	11	.76	+	14.50	2.07E-09	2.47E-07
epithelium development (GO:0060429)	718	41	13.97	+	2.93	2.54E-09	2.99E-07
nucleosome organization (GO:0034728)	79	14	1.54	+	9.11	2.61E-09	3.04E-07
sister chromatid cohesion (GO:0007062)	30	10	.58	+	17.13	2.95E-09	3.38E-07
positive regulation of macromolecule biosynthetic process (GO:0010557)	637	38	12.39	+	3.07	3.28E-09	3.71E-07
positive regulation of nitrogen compound metabolic process (GO:0051173)	1100	53	21.40	+	2.48	3.33E-09	3.72E-07
generation of neurons (GO:0048699)	853	45	16.60	+	2.71	4.17E-09	4.59E-07
positive regulation of cellular biosynthetic process (GO:0031328)	651	38	12.67	+	3.00	5.73E-09	6.23E-07
positive regulation of biosynthetic process (GO:0009891)	655	38	12.74	+	2.98	6.70E-09	7.20E-07
negative regulation of chromatin silencing (GO:0031936)	25	9	.49	+	18.50	1.07E-08	1.13E-06
negative regulation of nucleobase-containing compound metabolic process (GO:0045934)	473	31	9.20	+	3.37	1.30E-08	1.35E-06
regulation of transcription by RNA polymerase II (GO:0006357)	1048	50	20.39	+	2.45	1.30E-08	1.36E-06
negative regulation of gene silencing (GO:0060969)	26	9	.51	+	17.79	1.41E-08	1.44E-06
chromatin assembly (GO:0031497)	62	12	1.21	+	9.95	1.52E-08	1.54E-06
regulation of cell cycle (GO:0051726)	589	35	11.46	+	3.05	1.54E-08	1.54E-06
neurogenesis (GO:0022008)	925	46	18.00	+	2.56	2.05E-08	2.03E-06
positive regulation of transcription, DNA-templated (GO:0045893)	598	35	11.63	+	3.01	2.20E-08	2.13E-06
positive regulation of nucleic acid-templated transcription (GO:1903508)	599	35	11.65	+	3.00	2.29E-08	2.14E-06
negative regulation of cellular component organization (GO:0051129)	169	18	3.29	+	5.47	2.19E-08	2.14E-06
negative regulation of macromolecule metabolic process (GO:0010605)	748	40	14.55	+	2.75	2.25E-08	2.15E-06
positive regulation of RNA biosynthetic process (GO:1902680)	599	35	11.65	+	3.00	2.29E-08	2.16E-06
neural tube development (GO:0021915)	80	13	1.56	+	8.35	2.44E-08	2.25E-06
negative regulation of metabolic process (GO:0009892)	784	41	15.25	+	2.69	2.68E-08	2.45E-06
positive regulation of gene expression, epigenetic (GO:0045815)	30	9	.58	+	15.42	3.96E-08	3.58E-06
anatomical structure morphogenesis (GO:0009653)	1699	67	33.06	+	2.03	6.08E-08	5.44E-06
negative regulation of chromatin organization (GO:1905268)	32	9	.62	+	14.46	6.32E-08	5.60E-06
negative regulation of cellular metabolic process (GO:0031324)	690	37	13.42	+	2.76	7.27E-08	6.31E-06
protein-DNA complex subunit organization (GO:0071824)	124	15	2.41	+	6.22	7.25E-08	6.36E-06
cell division (GO:0051301)	144	16	2.80	+	5.71	7.82E-08	6.72E-06
anterior/posterior pattern specification (GO:0009952)	186	18	3.62	+	4.97	8.39E-08	7.14E-06
nucleosome positioning (GO:0016584)	24	8	.47	+	17.13	1.16E-07	9.81E-06
regulation of organelle organization (GO:0033043)	472	29	9.18	+	3.16	1.41E-07	1.18E-05
regulation of cell development (GO:0060284)	287	22	5.58	+	3.94	1.46E-07	1.20E-05
negative regulation of chromosome organization (GO:2001251)	49	10	.95	+	10.49	1.58E-07	1.29E-05
regulation of neurogenesis (GO:0050767)	265	21	5.16	+	4.07	1.67E-07	1.36E-05
animal organ morphogenesis (GO:0009887)	685	36	13.33	+	2.70	1.75E-07	1.41E-05
negative regulation of organelle organization (GO:0010639)	115	14	2.24	+	6.26	1.84E-07	1.47E-05
nucleic acid metabolic process (GO:0090304)	1108	49	21.56	+	2.27	2.01E-07	1.58E-05
regulation of nervous system development (GO:0051960)	299	22	5.82	+	3.78	2.81E-07	2.20E-05
negative regulation of cell cycle (GO:0045786)	120	14	2.33	+	6.00	2.96E-07	2.29E-05
cell development (GO:0048468)	1052	47	20.47	+	2.30	3.31E-07	2.54E-05
mesenchyme development (GO:0060485)	184	17	3.58	+	4.75	3.52E-07	2.68E-05
nucleosome assembly (GO:0006334)	57	10	1.11	+	9.02	5.45E-07	4.11E-05
cranial skeletal system development (GO:1904888)	191	17	3.72	+	4.57	5.71E-07	4.27E-05
regulation of DNA metabolic process (GO:0051052)	90	12	1.75	+	6.85	5.78E-07	4.28E-05
negative regulation of nitrogen compound metabolic process (GO:0051172)	660	34	12.84	+	2.65	6.00E-07	4.41E-05
embryonic morphogenesis (GO:0048598)	600	32	11.67	+	2.74	6.38E-07	4.65E-05
mitotic sister chromatid cohesion (GO:0007064)	12	6	.23	+	25.70	7.14E-07	5.16E-05
negative regulation of DNA recombination (GO:0045910)	32	8	.62	+	12.85	7.45E-07	5.33E-05
stem cell differentiation (GO:0048863)	173	16	3.37	+	4.75	7.67E-07	5.45E-05
macromolecule metabolic process (GO:0043170)	4044	121	78.68	+	1.54	9.68E-07	6.82E-05
cellular process (GO:0009987)	11027	267	214.54	+	1.24	1.13E-06	7.87E-05
mesenchymal cell differentiation (GO:0048762)	139	14	2.70	+	5.18	1.49E-06	1.03E-04
covalent chromatin modification (GO:0016569)	139	14	2.70	+	5.18	1.49E-06	1.03E-04
tube development (GO:0035295)	595	31	11.58	+	2.68	1.52E-06	1.04E-04
regionalization (GO:0003002)	310	21	6.03	+	3.48	1.82E-06	1.23E-04
hindbrain development (GO:0030902)	103	12	2.00	+	5.99	2.11E-06	1.42E-04
regulation of cell differentiation (GO:0045595)	425	25	8.27	+	3.02	2.17E-06	1.44E-04
neural crest cell differentiation (GO:0014033)	123	13	2.39	+	5.43	2.16E-06	1.44E-04
regulation of DNA recombination (GO:0000018)	38	8	.74	+	10.82	2.29E-06	1.50E-04
mRNA cis splicing, via spliceosome (GO:0045292)	26	7	.51	+	13.84	2.45E-06	1.59E-04
biological_process (GO:0008150)	15802	353	307.44	+	1.15	3.18E-06	2.04E-04
Unclassified (UNCLASSIFIED)	7430	99	144.56	-	.68	3.18E-06	2.05E-04
embryonic organ development (GO:0048568)	495	27	9.63	+	2.80	3.28E-06	2.09E-04
negative regulation of DNA metabolic process (GO:0051053)	41	8	.80	+	10.03	3.76E-06	2.37E-04
DNA metabolic process (GO:0006259)	356	22	6.93	+	3.18	4.23E-06	2.65E-04
negative regulation of cell cycle process (GO:0010948)	43	8	.84	+	9.56	5.13E-06	3.20E-04
histone modification (GO:0016570)	135	13	2.63	+	4.95	5.54E-06	3.43E-04
regulation of cell cycle phase transition (GO:1901987)	76	10	1.48	+	6.76	5.63E-06	3.46E-04
regulation of multicellular organismal development (GO:2000026)	605	30	11.77	+	2.55	5.73E-06	3.50E-04
epithelial tube morphogenesis (GO:0060562)	206	16	4.01	+	3.99	6.27E-06	3.80E-04
determination of left/right symmetry (GO:0007368)	208	16	4.05	+	3.95	7.03E-06	4.22E-04
RNA splicing, via transesterification reactions (GO:0000375)	139	13	2.70	+	4.81	7.43E-06	4.37E-04
RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)	139	13	2.70	+	4.81	7.43E-06	4.40E-04
mRNA splicing, via spliceosome (GO:0000398)	139	13	2.70	+	4.81	7.43E-06	4.43E-04
embryonic organ morphogenesis (GO:0048562)	346	21	6.73	+	3.12	9.04E-06	5.28E-04
neuron development (GO:0048666)	557	28	10.84	+	2.58	9.27E-06	5.35E-04
negative regulation of gene expression (GO:0010629)	557	28	10.84	+	2.58	9.27E-06	5.38E-04
protein-DNA complex assembly (GO:0065004)	101	11	1.97	+	5.60	1.01E-05	5.77E-04
spindle organization (GO:0007051)	64	9	1.25	+	7.23	1.02E-05	5.81E-04
forebrain development (GO:0030900)	123	12	2.39	+	5.01	1.12E-05	6.35E-04
regulation of developmental process (GO:0050793)	752	34	14.63	+	2.32	1.25E-05	7.02E-04
negative regulation of cellular macromolecule biosynthetic process (GO:2000113)	474	25	9.22	+	2.71	1.30E-05	7.09E-04
negative regulation of nervous system development (GO:0051961)	66	9	1.28	+	7.01	1.28E-05	7.13E-04
negative regulation of macromolecule biosynthetic process (GO:0010558)	474	25	9.22	+	2.71	1.30E-05	7.14E-04
mRNA processing (GO:0006397)	245	17	4.77	+	3.57	1.30E-05	7.16E-04
embryonic cranial skeleton morphogenesis (GO:0048701)	147	13	2.86	+	4.55	1.30E-05	7.18E-04
morphogenesis of an epithelium (GO:0002009)	389	22	7.57	+	2.91	1.57E-05	8.51E-04
regulation of neuron differentiation (GO:0045664)	199	15	3.87	+	3.87	1.69E-05	9.04E-04
heart morphogenesis (GO:0003007)	199	15	3.87	+	3.87	1.69E-05	9.10E-04
negative regulation of cellular biosynthetic process (GO:0031327)	485	25	9.44	+	2.65	1.88E-05	9.97E-04
regulation of signal transduction (GO:0009966)	1047	42	20.37	+	2.06	1.90E-05	1.00E-03
digestive system development (GO:0055123)	109	11	2.12	+	5.19	1.94E-05	1.02E-03
meiotic cell cycle process (GO:1903046)	70	9	1.36	+	6.61	1.96E-05	1.02E-03
meiotic cell cycle (GO:0051321)	89	10	1.73	+	5.78	1.99E-05	1.03E-03
negative regulation of biosynthetic process (GO:0009890)	487	25	9.48	+	2.64	2.01E-05	1.03E-03
nucleobase-containing compound metabolic process (GO:0006139)	1429	52	27.80	+	1.87	2.05E-05	1.05E-03
mRNA metabolic process (GO:0016071)	310	19	6.03	+	3.15	2.11E-05	1.08E-03
neural tube patterning (GO:0021532)	38	7	.74	+	9.47	2.13E-05	1.08E-03
RNA splicing (GO:0008380)	179	14	3.48	+	4.02	2.20E-05	1.11E-03
transport (GO:0006810)	2539	23	49.40	-	.47	2.27E-05	1.12E-03
specification of symmetry (GO:0009799)	230	16	4.47	+	3.58	2.26E-05	1.12E-03
determination of bilateral symmetry (GO:0009855)	230	16	4.47	+	3.58	2.26E-05	1.13E-03
ventral midline development (GO:0007418)	14	5	.27	+	18.36	2.31E-05	1.13E-03
tissue morphogenesis (GO:0048729)	492	25	9.57	+	2.61	2.36E-05	1.15E-03
stem cell development (GO:0048864)	112	11	2.18	+	5.05	2.45E-05	1.18E-03
embryonic skeletal system morphogenesis (GO:0048704)	157	13	3.05	+	4.26	2.47E-05	1.18E-03
mesenchymal cell development (GO:0014031)	112	11	2.18	+	5.05	2.45E-05	1.18E-03
neural crest cell development (GO:0014032)	112	11	2.18	+	5.05	2.45E-05	1.19E-03
negative regulation of RNA metabolic process (GO:0051253)	433	23	8.42	+	2.73	2.60E-05	1.23E-03
neuron differentiation (GO:0030182)	683	31	13.29	+	2.33	3.42E-05	1.61E-03
regulation of mRNA metabolic process (GO:1903311)	117	11	2.28	+	4.83	3.56E-05	1.67E-03
digestive tract development (GO:0048565)	77	9	1.50	+	6.01	3.89E-05	1.81E-03
floor plate development (GO:0033504)	16	5	.31	+	16.06	3.91E-05	1.81E-03
negative regulation of mitotic cell cycle (GO:0045930)	77	9	1.50	+	6.01	3.89E-05	1.82E-03
embryonic heart tube development (GO:0035050)	144	12	2.80	+	4.28	4.76E-05	2.17E-03
midbrain-hindbrain boundary development (GO:0030917)	29	6	.56	+	10.63	4.74E-05	2.17E-03
somite development (GO:0061053)	121	11	2.35	+	4.67	4.73E-05	2.17E-03
heterocycle metabolic process (GO:0046483)	1519	53	29.55	+	1.79	5.29E-05	2.39E-03
embryonic heart tube morphogenesis (GO:0003143)	123	11	2.39	+	4.60	5.43E-05	2.44E-03
mitotic cell cycle checkpoint (GO:0007093)	45	7	.88	+	8.00	5.61E-05	2.47E-03
negative regulation of mitotic cell cycle phase transition (GO:1901991)	30	6	.58	+	10.28	5.60E-05	2.48E-03
negative regulation of neurogenesis (GO:0050768)	62	8	1.21	+	6.63	5.54E-05	2.48E-03
somitogenesis (GO:0001756)	81	9	1.58	+	5.71	5.59E-05	2.49E-03
cellular macromolecule metabolic process (GO:0044260)	3175	93	61.77	+	1.51	6.06E-05	2.66E-03
determination of heart left/right asymmetry (GO:0061371)	149	12	2.90	+	4.14	6.47E-05	2.82E-03
cellular response to DNA damage stimulus (GO:0006974)	339	19	6.60	+	2.88	6.64E-05	2.88E-03
neuron projection development (GO:0031175)	433	22	8.42	+	2.61	7.23E-05	3.12E-03
embryonic skeletal system development (GO:0048706)	176	13	3.42	+	3.80	7.43E-05	3.19E-03
cranial nerve development (GO:0021545)	48	7	.93	+	7.50	8.10E-05	3.45E-03
mitotic G2/M transition checkpoint (GO:0044818)	9	4	.18	+	22.84	8.16E-05	3.46E-03
cellular aromatic compound metabolic process (GO:0006725)	1531	53	29.79	+	1.78	8.09E-05	3.46E-03
heart development (GO:0007507)	439	22	8.54	+	2.58	8.75E-05	3.68E-03
negative regulation of cell cycle phase transition (GO:1901988)	33	6	.64	+	9.35	8.94E-05	3.75E-03
negative regulation of developmental process (GO:0051093)	155	12	3.02	+	3.98	9.21E-05	3.84E-03
regulation of RNA splicing (GO:0043484)	87	9	1.69	+	5.32	9.27E-05	3.85E-03
negative regulation of nucleic acid-templated transcription (GO:1903507)	411	21	8.00	+	2.63	9.75E-05	3.99E-03
negative regulation of transcription, DNA-templated (GO:0045892)	411	21	8.00	+	2.63	9.75E-05	4.01E-03
negative regulation of RNA biosynthetic process (GO:1902679)	411	21	8.00	+	2.63	9.75E-05	4.03E-03
axon guidance (GO:0007411)	208	14	4.05	+	3.46	1.01E-04	4.12E-03
rostrocaudal neural tube patterning (GO:0021903)	34	6	.66	+	9.07	1.04E-04	4.18E-03
mitotic spindle organization (GO:0007052)	34	6	.66	+	9.07	1.04E-04	4.20E-03
movement of cell or subcellular component (GO:0006928)	883	35	17.18	+	2.04	1.08E-04	4.33E-03
segmentation (GO:0035282)	89	9	1.73	+	5.20	1.09E-04	4.35E-03
gland development (GO:0048732)	211	14	4.11	+	3.41	1.16E-04	4.63E-03
neuron projection guidance (GO:0097485)	212	14	4.12	+	3.39	1.22E-04	4.70E-03
plasma membrane bounded cell projection morphogenesis (GO:0120039)	356	19	6.93	+	2.74	1.22E-04	4.72E-03
negative regulation of cell development (GO:0010721)	70	8	1.36	+	5.87	1.21E-04	4.73E-03
microtubule cytoskeleton organization (GO:0000226)	267	16	5.19	+	3.08	1.20E-04	4.74E-03
neuron projection morphogenesis (GO:0048812)	356	19	6.93	+	2.74	1.22E-04	4.74E-03
sensory organ morphogenesis (GO:0090596)	239	15	4.65	+	3.23	1.20E-04	4.74E-03
cell projection morphogenesis (GO:0048858)	356	19	6.93	+	2.74	1.22E-04	4.76E-03
protein acetylation (GO:0006473)	52	7	1.01	+	6.92	1.28E-04	4.85E-03
pectoral fin development (GO:0033339)	52	7	1.01	+	6.92	1.28E-04	4.87E-03
microtubule cytoskeleton organization involved in mitosis (GO:1902850)	52	7	1.01	+	6.92	1.28E-04	4.89E-03
morphogenesis of embryonic epithelium (GO:0016331)	53	7	1.03	+	6.79	1.42E-04	5.38E-03
regulation of response to stimulus (GO:0048583)	1414	49	27.51	+	1.78	1.50E-04	5.65E-03
G protein-coupled receptor signaling pathway (GO:0007186)	1022	5	19.88	-	.25	1.51E-04	5.66E-03
mitotic chromosome condensation (GO:0007076)	11	4	.21	+	18.69	1.51E-04	5.67E-03
cell part morphogenesis (GO:0032990)	363	19	7.06	+	2.69	1.55E-04	5.75E-03
gene silencing (GO:0016458)	73	8	1.42	+	5.63	1.57E-04	5.81E-03
axon development (GO:0061564)	333	18	6.48	+	2.78	1.57E-04	5.83E-03
regulation of multicellular organismal process (GO:0051239)	823	33	16.01	+	2.06	1.67E-04	6.14E-03
mitotic DNA integrity checkpoint (GO:0044774)	23	5	.45	+	11.17	1.69E-04	6.19E-03
embryonic viscerocranium morphogenesis (GO:0048703)	95	9	1.85	+	4.87	1.72E-04	6.26E-03
transmembrane transport (GO:0055085)	905	4	17.61	-	.23	1.77E-04	6.41E-03
organic cyclic compound metabolic process (GO:1901360)	1617	54	31.46	+	1.72	1.80E-04	6.48E-03
cell morphogenesis involved in differentiation (GO:0000904)	399	20	7.76	+	2.58	1.81E-04	6.48E-03
small molecule metabolic process (GO:0044281)	916	4	17.82	-	.22	1.80E-04	6.50E-03
ear development (GO:0043583)	143	11	2.78	+	3.95	1.89E-04	6.70E-03
inner ear development (GO:0048839)	143	11	2.78	+	3.95	1.89E-04	6.73E-03
epithelial cell differentiation (GO:0030855)	196	13	3.81	+	3.41	2.03E-04	7.18E-03
negative regulation of multicellular organismal process (GO:0051241)	170	12	3.31	+	3.63	2.07E-04	7.29E-03
neuron fate commitment (GO:0048663)	40	6	.78	+	7.71	2.29E-04	8.05E-03
axonogenesis (GO:0007409)	314	17	6.11	+	2.78	2.34E-04	8.17E-03
chromatin remodeling (GO:0006338)	78	8	1.52	+	5.27	2.39E-04	8.28E-03
locomotion (GO:0040011)	741	30	14.42	+	2.08	2.39E-04	8.31E-03
pigmentation (GO:0043473)	123	10	2.39	+	4.18	2.42E-04	8.37E-03
floor plate formation (GO:0021508)	13	4	.25	+	15.81	2.56E-04	8.76E-03
floor plate morphogenesis (GO:0033505)	13	4	.25	+	15.81	2.56E-04	8.79E-03
regulation of axonogenesis (GO:0050770)	101	9	1.97	+	4.58	2.63E-04	8.96E-03
skeletal system morphogenesis (GO:0048705)	202	13	3.93	+	3.31	2.68E-04	9.09E-03
regulation of cell cycle G2/M phase transition (GO:1902749)	26	5	.51	+	9.88	2.79E-04	9.41E-03
midbrain development (GO:0030901)	26	5	.51	+	9.88	2.79E-04	9.45E-03
cell morphogenesis (GO:0000902)	471	22	9.16	+	2.40	2.94E-04	9.84E-03
regulation of neuron projection development (GO:0010975)	151	11	2.94	+	3.74	2.93E-04	9.84E-03
cellular response to stress (GO:0033554)	649	27	12.63	+	2.14	3.04E-04	1.01E-02
skeletal system development (GO:0001501)	323	17	6.28	+	2.71	3.19E-04	1.06E-02
neural crest formation (GO:0014029)	14	4	.27	+	14.69	3.24E-04	1.07E-02
negative regulation of G2/M transition of mitotic cell cycle (GO:0010972)	14	4	.27	+	14.69	3.24E-04	1.07E-02
macromolecule modification (GO:0043412)	2070	64	40.27	+	1.59	3.29E-04	1.08E-02
cell projection organization (GO:0030030)	671	28	13.05	+	2.14	3.35E-04	1.09E-02
nerve development (GO:0021675)	62	7	1.21	+	5.80	3.43E-04	1.12E-02
neural crest cell migration (GO:0001755)	83	8	1.61	+	4.95	3.52E-04	1.14E-02
mitotic G2 DNA damage checkpoint (GO:0007095)	5	3	.10	+	30.84	3.60E-04	1.16E-02
negative regulation of cell differentiation (GO:0045596)	106	9	2.06	+	4.36	3.66E-04	1.17E-02
regulation of cell communication (GO:0010646)	1196	42	23.27	+	1.80	3.65E-04	1.18E-02
cell cycle checkpoint (GO:0000075)	63	7	1.23	+	5.71	3.74E-04	1.20E-02
digestive tract morphogenesis (GO:0048546)	28	5	.54	+	9.18	3.78E-04	1.20E-02
regulation of signaling (GO:0023051)	1202	42	23.39	+	1.80	3.80E-04	1.20E-02
neuron fate specification (GO:0048665)	28	5	.54	+	9.18	3.78E-04	1.20E-02
regulation of Wnt signaling pathway (GO:0030111)	131	10	2.55	+	3.92	3.88E-04	1.22E-02
cell morphogenesis involved in neuron differentiation (GO:0048667)	329	17	6.40	+	2.66	3.90E-04	1.22E-02
ion transport (GO:0006811)	947	5	18.42	-	.27	3.92E-04	1.22E-02
eye morphogenesis (GO:0048592)	184	12	3.58	+	3.35	4.08E-04	1.27E-02
positive regulation of molecular function (GO:0044093)	448	21	8.72	+	2.41	4.07E-04	1.27E-02
nitrogen compound metabolic process (GO:0006807)	4606	121	89.61	+	1.35	4.37E-04	1.35E-02
RNA processing (GO:0006396)	491	22	9.55	+	2.30	4.36E-04	1.35E-02
heart looping (GO:0001947)	109	9	2.12	+	4.24	4.43E-04	1.36E-02
spinal cord development (GO:0021510)	65	7	1.26	+	5.54	4.45E-04	1.36E-02
cellular protein modification process (GO:0006464)	1966	61	38.25	+	1.59	4.56E-04	1.39E-02
protein modification process (GO:0036211)	1966	61	38.25	+	1.59	4.56E-04	1.39E-02
regulation of mRNA processing (GO:0050684)	87	8	1.69	+	4.73	4.72E-04	1.43E-02
plasma membrane bounded cell projection organization (GO:0120036)	654	27	12.72	+	2.12	4.88E-04	1.47E-02
cellular component morphogenesis (GO:0032989)	551	24	10.72	+	2.24	4.87E-04	1.47E-02
